Hugo_Symbol	Gene.level.penetrance
APC	High
RPS6KB2	Uncertain
FH	High
ATM	Moderate
MUTYH	Low
MSH2	High
ATR	Uncertain
NBN	Moderate
CHEK2	Moderate
ERCC2	Uncertain
PIK3C2G	Uncertain
RAD51C	Moderate
SDHB	High
FANCC	Uncertain
BRCA2	High
NF1	High
BRCA1	High
FLCN	High
ALOX12B	Uncertain
RAD51B	Uncertain
PTPRS	Uncertain
MITF	Moderate
PARK2	Uncertain
FANCA	Uncertain
SETD2	Uncertain
MDC1	Uncertain
BARD1	Uncertain
PALB2	High
BRIP1	Moderate
RB1	High
PMS2	High
XRCC2	Uncertain
HNF1A	Uncertain
NOTCH4	Uncertain
RECQL4	Uncertain
PRDM1	Uncertain
TP53	High
ARID2	Uncertain
ZFHX3	Uncertain
HIST1H1C	Uncertain
BLM	Uncertain
PTPRT	Uncertain
FAT1	Uncertain
MSH6	High
IFNGR1	Uncertain
DIS3	Uncertain
HOXB13	Moderate
ERCC3	Uncertain
MRE11A	Uncertain
BAP1	High
ERCC4	Uncertain
DNMT3A	Uncertain
JAK3	Uncertain
FAM175A	Uncertain
RAD50	Uncertain
CASP8	Uncertain
NOTCH3	Uncertain
RAD54L	Uncertain
RAD52	Uncertain
RASA1	Uncertain
STK11	High
VHL	High
ERCC5	Uncertain
RFWD2	Uncertain
AXIN1	Uncertain
MGA	Uncertain
CIC	Uncertain
MLH1	High
PMS1	Uncertain
CBL	Uncertain
CDKN2A	High
TET2	Uncertain
SDHA	High
TSHR	Uncertain
CDH1	High
INSR	Uncertain
BMPR1A	High
EPHA3	Uncertain
NCOR1	Uncertain
LATS1	Uncertain
TSC2	High
HIST3H3	Uncertain
SUFU	High
SMAD3	Uncertain
SH2B3	Uncertain
CTCF	Uncertain
MAP3K13	Uncertain
MEN1	High
ASXL1	Uncertain
HIST1H3B	Uncertain
MST1	Uncertain
PDCD1	Uncertain
H3F3C	Uncertain
SMARCA4	High
HIST1H3F	Uncertain
PTEN	High
SDHAF2	High
PTCH1	High
EPCAM	Uncertain
INPP4A	Uncertain
SUZ12	Uncertain
BCL2L11	Uncertain
SHQ1	Uncertain
RAD51D	Moderate
HIST1H3A	Uncertain
BBC3	Uncertain
TET1	Uncertain
RET	High
SPOP	Uncertain
RNF43	Uncertain
NUP93	Uncertain
KMT2A	Uncertain
KLF4	Uncertain
MAPK3	Uncertain
PIK3R3	Uncertain
DNAJB1	Uncertain
DICER1	High
KIT	High
AXIN2	Uncertain
SMARCB1	High
NOTCH1	Uncertain
TCF7L2	Uncertain
CHEK1	Uncertain
FOXP1	Uncertain
HIST1H3H	Uncertain
KMT2C	Uncertain
ERRFI1	Uncertain
ARID5B	Uncertain
RUNX1	High
KEAP1	Uncertain
GPS2	Uncertain
MET	High
CSF1R	Uncertain
TGFBR1	Uncertain
ARID1B	Uncertain
KMT2D	Uncertain
NKX3-1	Uncertain
SDHC	High
PTPRD	Uncertain
IKZF1	Uncertain
FUBP1	Uncertain
HIST1H3D	Uncertain
NSD1	Uncertain
DNMT3B	Uncertain
ARID1A	Uncertain
KDM5C	Uncertain
SDHD	High
TNFRSF14	Uncertain
MAP3K1	Uncertain
ASXL2	Uncertain
TMEM127	High
TGFBR2	Uncertain
PAX5	Uncertain
LATS2	Uncertain
STAG2	Uncertain
CUL3	Uncertain
FGFR2	Uncertain
TSC1	High
CDC73	Uncertain
AMER1	Uncertain
EGFL7	Uncertain
PPP2R1A	Uncertain
ROS1	Uncertain
CD274	Uncertain
PLK2	Uncertain
CDKN1A	Uncertain
PIK3R1	Uncertain
TBX3	Uncertain
CREBBP	Uncertain
FBXW7	Uncertain
PBRM1	Uncertain
BCL10	Uncertain
