Hugo_Symbol	OMIM	cell cycle checkpoint	HR	DSB	DNA replication	DSBR	MMR	DNA repair	MMR_4genes	cell cycle	response to DNA damage stimulus	BER	NER	OncoKB Oncogene	OncoKB TSG	mechanism
TAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ERRFI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
STK19	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CRKL	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
FOXA1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
STK11	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
MEN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
B2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
TAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CRLF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
CDC73	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PIK3CA	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
PIK3CB	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
PIK3CD	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
PIK3CG	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
IGF1R	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
WHSC1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
NUP93	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
PIK3C2G	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
SMARCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
PIK3C3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
GATA2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
GATA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ARID5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
CCND1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
MAX	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CCND3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
CCND2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
PTEN	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
NTHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CTCF	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
IL7R	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
JAK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
CDKN1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
CDKN1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
RIT1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
XPO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CSDE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
SOX17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
JAK2	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
H3F3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
H3F3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
JAK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
TMEM127	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
BLM	1	0	0	0	1	0	0	1	0	0	0	0	0	0.0	1.0	loss-of-function
PPARG	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
HIST2H3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
HIST2H3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RPS6KA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
CBL	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PRDM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
EIF4A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
DNMT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
SESN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
SDCCAG8	0	0	0	0	0	0	0	0	0	0	0	0	0			
SESN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
SMAD4	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
RET	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
SMAD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
